<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.05	23:52:00	1.07972	1.07973	1.07972	1.07973	14	0	9
2023.12.05	23:53:00	1.07974	1.07974	1.07971	1.07973	21	0	7
2023.12.05	23:54:00	1.07972	1.07980	1.07971	1.07977	19	0	9
2023.12.05	23:55:00	1.07977	1.07985	1.07977	1.07978	7	0	1
2023.12.05	23:56:00	1.07978	1.07980	1.07978	1.07980	5	0	8
2023.12.05	23:57:00	1.07980	1.07981	1.07975	1.07977	30	0	9
2023.12.05	23:58:00	1.07977	1.07978	1.07970	1.07971	27	0	11
2023.12.05	23:59:00	1.07972	1.07980	1.07954	1.07956	11	0	9
2023.12.06	00:00:00	1.07957	1.07957	1.07957	1.07957	1	0	18
2023.12.06	00:01:00	1.07888	1.07970	1.07865	1.07897	19	0	18
2023.12.06	00:02:00	1.07897	1.07897	1.07875	1.07896	10	0	83
2023.12.06	00:03:00	1.07882	1.07896	1.07882	1.07896	2	0	83
2023.12.06	00:04:00	1.07904	1.07904	1.07900	1.07900	4	0	58
2023.12.06	00:05:00	1.07952	1.07952	1.07931	1.07936	8	0	18
2023.12.06	00:06:00	1.07936	1.07938	1.07936	1.07936	3	0	35
2023.12.06	00:07:00	1.07936	1.07936	1.07923	1.07929	5	0	34
2023.12.06	00:08:00	1.07929	1.07933	1.07929	1.07933	5	0	30
2023.12.06	00:09:00	1.07944	1.07944	1.07932	1.07933	9	0	10
2023.12.06	00:10:00	1.07933	1.07940	1.07933	1.07940	7	0	30
2023.12.06	00:11:00	1.07940	1.07949	1.07924	1.07924	5	0	8
2023.12.06	00:12:00	1.07949	1.07949	1.07949	1.07949	1	0	13
2023.12.06	00:13:00	1.07949	1.07949	1.07923	1.07923	2	0	13
2023.12.06	00:14:00	1.07949	1.07949	1.07922	1.07922	4	0	8
2023.12.06	00:15:00	1.07933	1.07933	1.07933	1.07933	1	0	29
2023.12.06	00:16:00	1.07934	1.07956	1.07925	1.07925	4	0	17
2023.12.06	00:17:00	1.07927	1.07951	1.07922	1.07951	5	0	28
2023.12.06	00:18:00	1.07951	1.07954	1.07922	1.07951	5	0	21
2023.12.06	00:19:00	1.07951	1.07951	1.07951	1.07951	1	0	39
2023.12.06	00:20:00	1.07951	1.07951	1.07843	1.07925	6	0	28
2023.12.06	00:21:00	1.07957	1.07957	1.07951	1.07951	2	0	26
2023.12.06	00:22:00	1.07951	1.07955	1.07920	1.07955	11	0	29
